content,score,sentiment_score,sentiment
aplikasi bagus,5,-16,negative
beli token listrik udah sukses,3,0,neutral
bagus,5,-8,negative
aplikasi nya keren tf saldo min,5,-4,negative
bantu,5,-8,negative
mantappp transaksi cepat tidak rewel,5,-16,negative
far soo good,4,10,positive
brimo oke,5,4,positive
bantu banget,5,-6,negative
bantu,5,-8,negative
bagus wilaya selatan,5,-8,negative
cepat dan strategis,1,-6,negative
cepat,5,-6,negative
transaksi seharihari brimo lancar cek mudah banding aplikasi uang brimo tawar mudah abai,5,-36,negative
bantu transaksi,5,0,neutral
brimo bikin transaksi internasional gampang murah transfer negeri antri bank fitur bayar qr negeri singapura nilai,5,2,positive
serba mudah cepat lengkap,5,-14,negative
tolong aplikasi brimo naik limit transaksi kartu atm juta transaksi limit besar juta,5,10,positive
terimakasih transaksi uang mudah,5,16,positive
mantap,5,10,positive
good,5,10,positive
brimo mudah transaksi,5,6,positive
oke transaksi pakai ganggu,5,4,positive
login sulit data nya user pw pin,1,-6,negative
mudah cepat,5,-8,negative
oke,5,4,positive
bagus,5,-8,negative
bantu,5,-8,negative
woooy brimoo tolong dong mudah yang daftar foto ktp aja gagal muluu anjing emang kesel saya dari kemarin gagal mulu padahal udah ngepas banget foto sma yang suruh tolong komintmennny hadeuh dasarr brimo,1,-72,negative
bantu,5,-8,negative
bagus cepat akses,5,-10,negative
cepat,5,-6,negative
kak daftar ya gagal mohon responnya yaaku kasih bintang daftar bintangnyaterima kasih,2,-20,negative
cepat transaksi mudah,5,0,neutral
great,5,6,positive
manfaat,5,10,positive
brimo bantu transaksi negara proses transfer negara susah aplikasi,5,-12,negative
okw,3,0,neutral
bagus,5,-8,negative
bagus aplikasi,5,-16,negative
mudah cepat transaksi,5,0,neutral
bantu transaksi praktis,5,8,positive
efektif efisien,5,18,positive
mudah cepat,5,-8,negative
oke,5,4,positive
mudah bantu,5,-10,negative
mantul,5,0,neutral
bintang nyusul,4,0,neutral
tolong pinjam ceria lolos,5,-14,negative
mantul,5,0,neutral
terima kasih brimo hidup mudah,5,-8,negative
bantu terima kasih brimo,5,-6,negative
transaksi mudah cepat,5,0,neutral
good,5,10,positive
asik banget sekarang pakai brimo,5,10,positive
mudah cepatcara mengunakannya,4,-2,negative
bagus transaksi online,4,0,neutral
keren,5,0,neutral
kece badai mbimo,5,-14,negative
muas kansya puas aplikasi brimo inisemoga lancar aja tidak kendala,5,-4,negative
bantu teko ngono wae,5,-8,negative
verifikasi akun nomor rekening foto ktp baca gambar sesuai instruksi aplikasi tolong selesai bug nya,2,-22,negative
gagal terus norak,1,-8,negative
mantap pokok,5,4,positive
aplikasi andal,5,-10,negative
manfaat skli sy,5,10,positive
brimo baik simple,5,4,positive
moga saldo bar rapi,5,2,positive
baguss,5,0,neutral
oke praktis bantu kerja,4,8,positive
bagus,5,-8,negative
oke mantap,5,14,positive
hp rusak ganti hp download apk brimo hp lupa usarname isi ktp kandung rekening kode hsmm ulang kali isi cek kena kode hsmm salah koreksi dibetulkansistem loh contoh apk bca mobile seribet brimo bca mobile ganti hp isi kartu atm verifikasi muka user nya sistem brimo isi ktp kandung rekening aja kena kode ribet sistem ribet,1,-142,negative
gagal masuk nomor deteksi,5,-14,negative
ok,5,8,positive
ya simple thank you,5,22,positive
susah utk verifikasi wajah,1,-6,negative
brimo bantu perlu ku ga capek atm kecuali tarik tunai,5,-2,negative
good,5,10,positive
layan nyaman,5,4,positive
serba bisaa,5,0,neutral
mantab,5,0,neutral
bantu mudah,5,-10,negative
moga apk nya manfaat kedepannyasementara kasih bintang,4,10,positive
terimkasih brimo ganti hp,5,-6,negative
muas proses cepat,5,6,positive
mudah transaksi,5,6,positive
mudah cepat layan nasabah,5,-4,negative
nice,5,8,positive
bantu transaksi,5,0,neutral
top,5,10,positive
bagus banget,5,-6,negative
aplikasi kendala pokok good,5,-4,negative
membantubisa bayar loket,5,-6,negative
yaahh nomor ku masa aktif pake wifi kak wifi ku aman,1,-12,negative
like brimo,5,0,neutral
mudah transaksi,5,6,positive
pas beli pulsa sukses status proses,3,2,positive
bantu bangetsaya puas aplikasi,5,-10,negative
gacor,5,0,neutral
lancar cepat,5,-10,negative
brimo alam layan langgan fitur chat aplikasi mudah bantu dengar solusi cepat,5,-10,negative
mantappppp,5,0,neutral
top banget,5,12,positive
mudah,5,-2,negative
daftar brimo susah banget gagal,1,-18,negative
mantap poko,5,6,positive
aplikasi bagus sih catat pasu yang palsu maksud nya notif uang masuk pas cek mutasi uang mutasi nama orang muncul brimo alhamdulillah uang kurang isi takut kalau nabung uang hilang mohon tanggap lapor cs bri,5,-60,negative
easy use,5,0,neutral
far good,4,10,positive
mudah dgn ujung jari,5,-16,negative
gampang operasianys,5,-6,negative
layan bagus,5,-12,negative
ajib,5,0,neutral
pokok brimo bri mantap,5,4,positive
susah masuk ter fasif,5,-12,negative
mudah,4,-2,negative
yth bpk hormat alami kendala masuk akun brimo username sandi,2,-12,negative
good service tahan,5,6,positive
memudahkanmantap,5,0,neutral
siip,5,0,neutral
ketat sistem aman lupa sandi baru sandi vermukfoto wajah milik rekening karna hilang hp ganti sandi ambil uang rekening juta,2,-38,negative
tingkat min makasih,5,10,positive
pokok brimo muas,5,4,positive
mudah pakai ribet ribet moga depan jaya kembang suksesss,5,-2,negative
cepat mudah,5,-8,negative
muas,5,10,positive
aplikasi sederhana mudah paham mhn maaf utk bukti transfer ada struk yang share,5,-48,negative
mohon tari tunai sedia nominal juta atas mentok juta biar ga ribet,1,-16,negative
tidak ribet,5,-18,negative
tolong update tampil,5,-10,negative
transaksi dapet bripoin tukar evoucher tarik senang banget dapet untung transaksi,5,14,positive
mantap bosk,5,10,positive
ntah sms banking potong tidak ngotak,1,-14,negative
mudah bantu,5,-10,negative
bantu,5,-8,negative
transaksi lancar mantap brimo,5,14,positive
layan bank bri mantap,5,6,positive
mudah brimo,5,-2,negative
oke,5,4,positive
mudah transaksi,5,6,positive
tarik tunai nya nominal rb nya,5,10,positive
aplikasi bagus ringan cepat aman good job brimo,5,-14,negative
